Sl.,Name of the Cluster (Product),Location,District,No. of MSMEs,Any,Cluster is,Nodal Person of
No.,,,,in cluster,intervention,suitable for,DIC/Association/
"",,,,(approx.),undertaken in,which,NGO etc.
"",,,,,the Cluster,scheme,
1,"Food Processing Cluster, Hathras",Hathras,Hathras,50,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
2,"Readymade Garments Cluster, Hathras",Hathras,Hathras,60,No,MSE-CDP,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
3,Ayurvedic Medicine Manufacturing Cluster,Hathras,Hathras,40,No,MSE-CDP,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
4,Hing Processing Cluster,Hathras,Hathras,40,ODOP,MSE-CDP,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
5,Holi Gulal Neel Manufacturing Cluster,Hathras,Hathras,25,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
6,Daal Mill Processing Cluster,Hathras,Hathras,60,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
7,Cold Storage Cluster,Hathras,Hathras,90,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
8,Plastic Mould Maufacturing Cluster,Hathras,Hathras,10,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
9,Handicraft (Metal) Manufacturing Cluster,Hathras,Hathras,60,No,MSE-CDP,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
10,Dairy Products Cluster,Hathras,Hathras,25,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
11,Carpet Manufacturing Cluster,Hathras,Hathras,15,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
12,Artificial Jewellery Manufacturing/Moonga,Purdil Nagar,Hathras,150,No,SFURTI,"Sh. Dushyant Kumar,"
"",Moti Purdil Nagar,,,,,,"DC(I), DIC, Hathras"
13,Silver Ornaments Cluster/Bisawar Hathras,Bisawar,Hathras,100,No,SFURTI,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
14,Corrugated Boxes Clsuter,Hathras,Hathras,10,No,,"Sh. Dushyant Kumar,"
"",,,,,,,"DC(I), DIC, Hathras"
15,Sanitary Fittings Cluster,Gour  Udhyog,Mathura,40,ODOP,,"Devender Chaudhary ,"
"",,Kenda&,,,,,M.No. 9412279466
"",,Saraswati,,,,,
"",,Kund,,,,,
16,Offset Printing Cluster,Mathura,Mathura,20,No,,Prabat Press  M.no.
Sl.,Name of the Cluster (Product),Location,District,No. of MSMEs,Any,Cluster is,Nodal Person of
No.,,,,in cluster,intervention,suitable for,DIC/Association/
"",,,,(approx.),undertaken in,which,NGO etc.
"",,,,,the Cluster,scheme,
"",,,,,,,9412727820
17,Saree Printing Cluster,Mathura,Mathura,30,No,,"Ashok Garg , M/s"
"",,,,,,,"Harsh Print , Site –A"
"",,,,,,,"Indl Area , Mathura"
18,Payal Cluster,Mathura,Mathura,50,No,,"Abishek Gola , M.No."
"",,,,,,,8439859481
19,Silver Ornaments Cluster,Mathura,Mathura,30,No,,"Pramod Agarwal ,"
"",,,,,,,M.No. 750007433
20,Bitumen Products Cluster,Kosi Kala,Mathura,25,No,,"Kamlesh Arora,"
"",,,,,,,9319093472
21,Tyre Retreating Cluster,Chatta,Mathura,20,No,,"Rahul Mangala ,"
"",,,,,,,M.No.9627539200
22,Ayuvvedic Medicine Cluster,Mathura,Mathura,25,No,,"P.N. Tondon , Shree"
"",,,,,,,"Rama Drug House,"
"",,,,,,,M.No. 9837206828
23,Poshak (Devotional Dress) Cluster,Vrindavan &,Mathura,200,No,,"Goverdhan  , Ekta"
"",,Mathura,,,,,"Poshak , M.no."
"",,,,,,,8791130793
24,Kanthi  Mala Cluster,Jaita,Mathura,150,No,,"Darmendra Pradan,"
"",,,,,,,945664670
25,Copper Utensil  Cluster,Mathura,Mathura,15,No,,Teraindia@hot
"",,,,,,,"Mail.com, M.no."
"",,,,,,,8394958000
26,VrindavaMurti Kala Cluster,Vrindavan,Mathura,20,No,,"Vrindaan Art Gallery ,"
"",,,,,,,M.n 9917557214
27,"Readymade Garments Cluster, Sambhal",Achoda Kambo,Sambhal,50,No,,Sh. Amit Mohan
"",,,,,,,"Mishra, DC(I), DIC,"
"",,,,,,,Sambhal
28,Footwear Cluster,Chandausi,Sambhal,50,No,MSE-CDP,Sh. Amit Mohan
"",,,,,,,"Mishra, DC(I), DIC,"
"",,,,,,,Sambhal
29,Horn Bone Cluster,Sarai Tarin,Sambhal,500,ODOP,,Sh. Amit Mohan
"",,,,,,,"Mishra, DC(I), DIC,"
"",,,,,,,Sambhal
30,Wood Processing Cluster,Sarai Tarin,Sambhal,100,No,,Sh. Amit Mohan
"",,,,,,,"Mishra, DC(I), DIC,"
"",,,,,,,Sambhal
Sl.,Name of the Cluster (Product),Location,District,No. of MSMEs,Any,Cluster is,Nodal Person of
No.,,,,in cluster,intervention,suitable for,DIC/Association/
"",,,,(approx.),undertaken in,which,NGO etc.
"",,,,,the Cluster,scheme,
31,Mentha Products Cluster,Sambhal,Sambhal,500,No,,Sh. Amit Mohan
"",,,,,,,"Mishra, DC(I), DIC,"
"",,,,,,,Sambhal
32,Mentha Products Cluster,Chandausi,Sambhal,500,No,,Sh. Amit Mohan
"",,,,,,,"Mishra, DC(I), DIC,"
"",,,,,,,Sambhal
33,Sports Goods Cluster,Meerut,Meerut,500,ODOP,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Meerut
34,Leather Goods Cluster,Meerut,Meerut,40,No,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Meerut
35,Artificial Jewellery Cluster,Meerut,Meerut,40,No,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Meerut
36,Scissor Cluster,Meerut,Meerut,300,MSE-CDP,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Meerut
37,Metal Handicrafts Cluster,Moradabad,Moradabad,4000,ODOP,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
38,Wood Processing Cluster,Moradabad,Moradabad,90,,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
39,Utensil Cluster,Manpur,Moradabad,100,,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
40,Handloom Cluster,Thakurdwara,Moradabad,180,,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
41,Medicinal Bandage Cluster,Kanth,Moradabad,80,,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
42,Brass Ingraving Cluster,Moradabad,Moradabad,500,,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
43,Metal Casting Cluster,Moradabad,Moradabad,400,,,Dy. Commissioner
Sl.,Name of the Cluster (Product),Location,District,No. of MSMEs,Any,Cluster is,Nodal Person of
No.,,,,in cluster,intervention,suitable for,DIC/Association/
"",,,,(approx.),undertaken in,which,NGO etc.
"",,,,,the Cluster,scheme,
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
44,Readymade Garments,Kanth,Moradabad,200,,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
45,Jaggery (GUR) Cluster,Thakurdwara,Moradabad,150,,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Moradabad
46,Herbal & Ayurvedic Medicin Cluster,Baraut,Baghpat,25,NO,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Baghpat
47,ADB Excel Cluster,Baraut,Baghpat,60,No,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Baghpat
48,Handloom Cluster,Khekhra,Baghpat,50,No,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Baghpat
49,Handloom Cluster,Baghpat,Baghpat,30,No,,Dy. Commissioner
"",,,,,,,"(Industries), DIC"
"",,,,,,,Baghpat
50,Home Decorative Products Cluster,Baghpat,Baghpat,40,ODOP,,Dy. Commissioner
"",,,,,,,"(Industries), DIC,"
"",,,,,,,Baghpat
51,Jaggery (GUR) Cluster,Baseda,Muzaffarnagar,34,ODOP,,Dy. Commissioner
"",,,,,,,"(Industries), DIC,"
"",,,,,,,Muzaffarnagar
"",Jaggery (GUR) Cluster,Hasauli,Muzaffarnagar,25,ODOP,,Dy. Commissioner
"",,,,,,,"(Industries), DIC,"
"",,,,,,,Muzaffarnagar
"",Jaggery (GUR) Cluster,Bhakarwadi,Muzaffarnagar,30,ODOP,,Dy. Commissioner
"",,,,,,,"(Industries), DIC,"
"",,,,,,,Muzaffarnagar
52,Agriculture Impliments Cluster,Muzaffarnagar,Muzaffarnagar,40,No,,Dy. Commissioner
"",,,,,,,"(Industries), DIC,"
"",,,,,,,Muzaffarnagar
53,Furniture Cluster,Muzaffarnagar,Muzaffarnagar,30,No,,Dy. Commissioner
"",,,,,,,"(Industries), DIC,"
Sl.,Name of the Cluster (Product),Location,District,No. of MSMEs,Any,Cluster is,Nodal Person of
No.,,,,in cluster,intervention,suitable for,DIC/Association/
"",,,,(approx.),undertaken in,which,NGO etc.
"",,,,,the Cluster,scheme,
"",,,,,,,Muzaffarnagar
53,Shoe cluster,"Artoni,",Agra,20,Govt. of UP in,,Sh. Gajendra Singh
"",,,,,principle,,
"",,,,,approval on,,
"",,,,,6/10/2019,,
"",,,,,And by IL&FS,,M-7077069321
"",,,,,,,M-9410252385
"",,,,,,,Agra Shoe Artisans
"",,,,,,,"Ltd., Agra"
54,Leather Goods Cluster,Nagla Lekhraj,Agra,20,in principle by,,JD Welfare Society
"",,,,,Govt of UP on,,
"",,,,,22/11/2019.,,
"",(Excluding Shoes),,,,And by IL&FS,,Jaiveer Tomar M-
"",,,,,,,9412416081 M-
"",,,,,,,8077972726
55,Leather Cluster,Runkuta,Agra,50,Under process,,Common Man Social
"",,,,,at Directorate of,,Society Agra
"",,,,,"MSME, UP at",,B K Gautam
"",,,,,Kanpur,,Ph 7669740522
56,Leather,JagdishPura,Agra,300,Technical Trg.,,Sudhakar Singh
"",,,,,Given,,M-9415212064
57,Dari,Fatehpursikri,Agra,200,-,,M P Singh
"",,,,,,,M-8400170685
58,Zari work,Agra,Agra,100,Design,,Devendra Chaturvedi
"",,,,,Technical trg.,,M-9788232013
"",,,,,Given,,
59,Stone craft,Agra,Agra,300,Design,,Devendra Chansoria
"",,,,,Technical trg.,,M- 9410202836
"",,,,,Given,,
60,Petha,Nori Darwaja,Agra,380,DSR By,,Agra Petha Laghu
"",,,,,MFPI/UNIDO,,"Udyog Samiti, Noori"
"",,,,,,,"Gate, Agra"
"",,,,,,,Shahid Bhagat Singh
"",,,,,,,Kutir Petha Udhyog
"",,,,,,,"Association, Agra"
61,Petha,Sheetla Gali,Agra,50,DSR By,,Agra Petha Laghu
"",,,,,MFPI/UNIDO,,"Udyog Samiti, Noori"
"Sl.No.",Sl.,Name of the Cluster (Product),Name of the Cluster (Product),Location,Location,District,District,"No. of MSMEsin cluster(approx.)",o. of MSMEs,,Any,,,luster is,,"Nodal Person ofDIC/Association/NGO etc.",odal Person of,
No.,n cluster,intervention,uitable for,IC/Association/,,,,,,,,,,,,,,
"",,,,approx.),undertaken in,hich,GO etc.,,,,,,,,,,,
"",,,,,the Cluster,cheme,,,,,,,,,,,,
"",,,,,,,"Gate, Agra",,,,,,,,,,,
"",,,,,,,"Shahid Bhagat SinghKutir Petha UdhyogAssociation, Agra",,,,,,,,,,,
62,Petha,BM Khan,Agra,40,"DSR ByMFPI/UNIDO",,"Agra Petha LaghuUdyog Samiti, NooriGate, Agra",,,,,,,,,,,
"",,,,,,,"Shahid Bhagat SinghKutir Petha UdhyogAssociation, Agra",,,,,,,,,,,
63,Foundry,Agra,Agra,50,-,,"Agra Iron FoundersAssociation",,,,,,,,,,,
"",,,,,,,"Vijay NagarCoplony,Agra",,,,,,,,,,,
"",,,,,,,Amar Mittal,,,,,,,,,,,
64,Engg. Goods,Agra,Agra,100,-,,"ENGINEERINGCOMPONENTSMFRS. ASSO.(REGD.)",,,,,,,,,,,
"",,,,,,,Anoop Goyal,,,,,,,,,,,
"",,,,,,,Mob- 9837036661,,,,,,,,,,,
65,Cold Storage,Agra,Agra,150,-,,"AGRA COLDSTORAGE OWNERASSN.",,,,,,,,,,,
"",,,,,,,Rajesh Goyal,,,,,,,,,,,
"",,,,,,,Mob.9319106205,,,,,,,,,,,
